CountyDistrictSchool|School Year|SPED Percentage
260001000|20122013|0.1351
260001000|20132014|0.1733
260024000|20092010|0.1781
260024000|20102011|0.1644
260024000|20112012|0.2000
260024000|20122013|0.2019
260024000|20132014|0.2286
260070000|20092010|0.1937
260070000|20102011|0.2043
260070000|20112012|0.2087
260070000|20122013|0.1878
260070000|20132014|0.2019
260561000|20092010|0.1329
260561000|20102011|0.1453
260561000|20112012|0.1519
260561000|20122013|0.1507
260561000|20132014|0.1500
270001000|20092010|0.1832
270001000|20102011|0.1960
270001000|20112012|0.1952
270001000|20122013|0.1855
270001000|20132014|0.1978
270046000|20092010|0.1141
270046000|20102011|0.1655
270062000|20092010|0.2028
270062000|20102011|0.2183
270062000|20112012|0.2080
270062000|20122013|0.1841
270062000|20132014|0.1896
270594000|20092010|0.1917
270594000|20102011|0.2106
270594000|20112012|0.2197
270594000|20122013|0.2055
270594000|20132014|0.2122
270595000|20092010|0.1088
270595000|20102011|0.1174
270595000|20112012|0.1159
270595000|20122013|0.1250
270595000|20132014|0.1379
280001000|20092010|0.1555
280001000|20102011|0.1587
280001000|20112012|0.1683
280001000|20122013|0.1637
280001000|20132014|0.1808
280010000|20092010|0.1231
280010000|20102011|0.1233
280010000|20112012|0.1033
280010000|20122013|0.0988
280010000|20132014|0.0925
280015000|20092010|0.1879
280015000|20102011|0.1441
280015000|20112012|0.1927
280015000|20122013|0.1588
280015000|20132014|0.1567
280017000|20092010|0.1355
280017000|20102011|0.1322
280017000|20112012|0.1280
280017000|20122013|0.1320
280017000|20132014|0.1393
280054000|20092010|0.1627
280054000|20102011|0.1577
280054000|20112012|0.1616
280054000|20122013|0.1595
280054000|20132014|0.1735
280059000|20092010|0.0951
280059000|20102011|0.0987
280059000|20112012|0.0880
280059000|20122013|0.1003
280059000|20132014|0.0970
280066000|20092010|0.1233
280066000|20102011|0.1280
280066000|20112012|0.1353
280066000|20122013|0.1496
280066000|20132014|0.1615
290117000|20092010|0.1617
290117000|20102011|0.1636
290117000|20112012|0.1638
290117000|20122013|0.1688
290117000|20132014|0.1567
300001000|20092010|0.1440
300001000|20102011|0.1595
300001000|20112012|0.1512
300001000|20122013|0.1232
300001000|20132014|0.1556
300025000|20092010|0.1953
300025000|20102011|0.2172
300025000|20112012|0.1921
300025000|20122013|0.2202
300025000|20132014|0.2519
300054000|20092010|0.2030
300054000|20102011|0.2016
300054000|20112012|0.1760
300054000|20122013|0.1719
300054000|20132014|0.1639
310506000|20092010|0.1499
310506000|20102011|0.1518
310506000|20112012|0.1412
310506000|20122013|0.1730
310506000|20132014|0.1894
320046000|20092010|0.1259
320046000|20102011|0.1029
320046000|20112012|0.0934
320046000|20122013|0.0760
320046000|20132014|0.1242
320095000|20092010|0.1768
320095000|20102011|0.1932
320095000|20112012|0.1888
320095000|20122013|0.1919
320095000|20132014|0.1888
320125000|20092010|0.2108
320125000|20102011|0.1636
320125000|20112012|0.1667
320125000|20122013|0.1636
320125000|20132014|0.1710
330018000|20092010|0.1782
330018000|20102011|0.1899
330018000|20112012|0.1941
330018000|20122013|0.1835
330018000|20132014|0.1986
330021000|20092010|0.1737
330021000|20102011|0.1557
330021000|20112012|0.1059
330021000|20122013|0.0903
330021000|20132014|0.1560
330540000|20092010|0.1649
330540000|20102011|0.1609
330540000|20112012|0.1520
330540000|20122013|0.1448
330540000|20132014|0.1581
340001000|20092010|0.2146
340001000|20102011|0.2037
340001000|20112012|0.2195
340001000|20122013|0.2308
340001000|20132014|0.2342
340015000|20092010|0.1918
340015000|20102011|0.1872
340015000|20112012|0.2049
340015000|20122013|0.2205
340015000|20132014|0.2452
340034000|20092010|0.1821
340034000|20102011|0.1508
340034000|20112012|0.1552
340034000|20122013|0.1533
340034000|20132014|0.1842
340100000|20092010|0.1723
340100000|20102011|0.1487
340100000|20112012|0.1513
340100000|20122013|0.1350
340100000|20132014|0.1732
350001000|20092010|0.1071
350001000|20102011|0.1066
350001000|20112012|0.0898
350001000|20122013|0.0976
350001000|20132014|0.1157
360100000|20092010|0.1269
360100000|20102011|0.1140
360100000|20112012|0.0987
360100000|20122013|0.1205
360100000|20132014|0.1269
370030000|20092010|0.2038
370030000|20102011|0.1984
370030000|20112012|0.2056
370030000|20122013|0.1653
370030000|20132014|0.1963
380011000|20092010|0.1057
380011000|20102011|0.1212
380011000|20112012|0.1364
380011000|20122013|0.1769
380011000|20132014|0.1895
