id|year|math_avg_score|math_grade|math_basic_pct|math_proficient_pct|math_advanced_pct|math_not_tested_pct|concat_join_id
010090001|2012-2013|99.27|07|0.23|0.68|0.09|0|0100900012012-2013
010090001|2013-2014|110.34|07|0.16|0.63|0.21|0|0100900012013-2014
010090001|2014-2015|126.49|07|0.16|0.36|0.48|0|0100900012014-2015
010090001|2011-2012|97.97|08|0.39|0.45|0.16|0|0100900012011-2012
010090001|2012-2013|108.34|08|0.18|0.60|0.22|0|0100900012012-2013
010090001|2013-2014|100.61|08|0.28|0.58|0.13|0|0100900012013-2014
010090001|2014-2015|113.19|08|0.19|0.57|0.24|0|0100900012014-2015
010090001|2011-2012|110.28|11|0.25|0.49|0.25|0|0100900012011-2012
010090001|2012-2013|110.50|11|0.29|0.42|0.28|0|0100900012012-2013
010090001|2013-2014|113.12|11|0.30|0.39|0.31|0|0100900012013-2014
010090001|2014-2015|105.69|11|0.36|0.35|0.28|1|0100900012014-2015
010090002|2011-2012|100.23|03|0.41|0.45|-1.00|0|0100900022011-2012
010090002|2012-2013|87.29|03|0.47|0.53|-1.00|0|0100900022012-2013
010090002|2013-2014|87.24|03|0.44|0.56|-1.00|0|0100900022013-2014
010090002|2014-2015|97.47|03|-1.00|0.74|-1.00|0|0100900022014-2015
010090002|2011-2012|99.79|04|-1.00|0.71|-1.00|0|0100900022011-2012
010090002|2012-2013|107.55|04|-1.00|0.70|-1.00|0|0100900022012-2013
010090002|2013-2014|103.40|04|0.30|0.50|-1.00|0|0100900022013-2014
010090002|2014-2015|104.28|04|0.24|0.68|-1.00|0|0100900022014-2015
010090002|2011-2012|113.75|05|-1.00|0.63|-1.00|0|0100900022011-2012
010090002|2012-2013|118.45|05|-1.00|0.80|-1.00|0|0100900022012-2013
010090002|2013-2014|102.22|05|0.26|0.61|-1.00|0|0100900022013-2014
010090002|2014-2015|118.86|05|-1.00|0.62|0.29|0|0100900022014-2015
010090002|2011-2012|112.14|06|-1.00|0.67|-1.00|0|0100900022011-2012
010090002|2012-2013|107.53|06|0.26|0.53|-1.00|0|0100900022012-2013
010090002|2013-2014|109.09|06|0.32|0.41|0.27|0|0100900022013-2014
010090002|2014-2015|105.30|06|0.30|0.48|0.22|0|0100900022014-2015
010090003|2011-2012|128.10|03|-1.00|0.70|-1.00|0|0100900032011-2012
010090003|2012-2013|112.33|03|-1.00|0.56|0.28|0|0100900032012-2013
010090003|2013-2014|95.29|03|0.36|0.57|-1.00|0|0100900032013-2014
010090003|2014-2015|154.32|03|-1.00|0.32|0.68|0|0100900032014-2015
010090003|2011-2012|125.65|04|-1.00|0.41|0.47|0|0100900032011-2012
010090003|2012-2013|120.18|04|-1.00|0.59|0.29|0|0100900032012-2013
010090003|2013-2014|132.06|04|-1.00|0.47|0.53|0|0100900032013-2014
010090003|2014-2015|124.12|04|-1.00|0.59|0.35|0|0100900032014-2015
010090003|2011-2012|115.10|05|-1.00|-1.00|-1.00|0|0100900032011-2012
010090003|2012-2013|132.25|05|-1.00|0.35|0.55|0|0100900032012-2013
010090003|2013-2014|131.00|05|-1.00|0.56|0.44|0|0100900032013-2014
010090003|2014-2015|133.68|05|-1.00|0.42|0.53|0|0100900032014-2015
010090003|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900032011-2012
010090003|2012-2013|110.70|06|-1.00|0.65|-1.00|0|0100900032012-2013
010090003|2013-2014|136.35|06|-1.00|0.50|0.50|0|0100900032013-2014
010090003|2014-2015|112.10|06|-1.00|0.70|-1.00|0|0100900032014-2015
010090004|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|05|-1.00|-1.00|-1.00|0|0100900042011-2012
010090004|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900042011-2012
010090005|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|05|-1.00|-1.00|-1.00|0|0100900052011-2012
010090005|2011-2012|-1.00|06|-1.00|-1.00|-1.00|0|0100900052011-2012
010090006|2011-2012|112.22|03|-1.00|0.78|-1.00|0|0100900062011-2012
010090006|2012-2013|102.20|03|-1.00|0.80|-1.00|0|0100900062012-2013
010090006|2013-2014|103.81|03|0.29|0.57|-1.00|0|0100900062013-2014
010090006|2014-2015|119.05|03|-1.00|0.60|0.25|0|0100900062014-2015
010090006|2011-2012|120.04|04|-1.00|0.68|0.20|0|0100900062011-2012
010090006|2012-2013|120.06|04|-1.00|0.69|-1.00|0|0100900062012-2013
010090006|2013-2014|124.25|04|-1.00|0.69|-1.00|0|0100900062013-2014
010090006|2014-2015|131.43|04|-1.00|0.48|0.48|0|0100900062014-2015
010090006|2011-2012|102.71|05|0.21|0.75|-1.00|0|0100900062011-2012
010090006|2012-2013|115.68|05|-1.00|0.55|0.27|0|0100900062012-2013
010090006|2013-2014|106.56|05|-1.00|0.69|-1.00|0|0100900062013-2014
010090006|2014-2015|132.10|05|-1.00|0.38|0.57|0|0100900062014-2015
010090006|2011-2012|116.80|06|-1.00|0.60|-1.00|0|0100900062011-2012
010090006|2012-2013|119.76|06|-1.00|0.57|0.29|0|0100900062012-2013
010090006|2013-2014|119.00|06|-1.00|0.61|0.30|0|0100900062013-2014
010090006|2014-2015|116.94|06|-1.00|0.47|0.29|0|0100900062014-2015
010123001|2011-2012|124.43|07|-1.00|0.71|-1.00|0|0101230012011-2012
010123001|2012-2013|127.79|07|-1.00|0.50|0.43|0|0101230012012-2013
010123001|2013-2014|143.08|07|-1.00|0.42|0.58|0|0101230012013-2014
010123001|2014-2015|126.25|07|-1.00|-1.00|0.50|0|0101230012014-2015
010123001|2011-2012|121.29|08|-1.00|0.29|0.47|0|0101230012011-2012
010123001|2012-2013|128.13|08|-1.00|-1.00|0.53|0|0101230012012-2013
010123001|2013-2014|118.21|08|-1.00|0.36|0.36|0|0101230012013-2014
010123001|2014-2015|109.19|08|-1.00|0.44|0.31|0|0101230012014-2015
010123001|2011-2012|121.59|11|-1.00|0.59|0.32|0|0101230012011-2012
010123001|2012-2013|123.93|11|-1.00|0.47|0.40|0|0101230012012-2013
010123001|2013-2014|133.94|11|-1.00|0.50|0.44|0|0101230012013-2014
010123001|2014-2015|130.08|11|-1.00|0.46|0.46|0|0101230012014-2015
010123002|2011-2012|97.43|03|-1.00|0.64|-1.00|0|0101230022011-2012
010123002|2012-2013|98.57|03|0.36|0.43|-1.00|0|0101230022012-2013
010123002|2013-2014|97.26|03|0.43|0.39|-1.00|0|0101230022013-2014
010123002|2014-2015|99.50|03|0.38|0.44|-1.00|0|0101230022014-2015
010123002|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0101230022011-2012
010123002|2012-2013|110.43|04|-1.00|0.79|-1.00|0|0101230022012-2013
010123002|2013-2014|121.33|04|-1.00|0.50|-1.00|0|0101230022013-2014
010123002|2014-2015|105.05|04|-1.00|0.71|-1.00|0|0101230022014-2015
010123002|2011-2012|107.58|05|-1.00|0.58|-1.00|0|0101230022011-2012
010123002|2012-2013|135.60|05|-1.00|0.60|-1.00|0|0101230022012-2013
010123002|2013-2014|119.93|05|-1.00|0.71|-1.00|0|0101230022013-2014
010123002|2014-2015|119.21|05|-1.00|-1.00|0.43|0|0101230022014-2015
010123002|2011-2012|115.77|06|-1.00|0.69|-1.00|0|0101230022011-2012
010123002|2012-2013|122.69|06|-1.00|0.54|-1.00|0|0101230022012-2013
010123002|2013-2014|122.00|06|-1.00|0.64|-1.00|0|0101230022013-2014
010123002|2014-2015|116.57|06|-1.00|0.71|-1.00|0|0101230022014-2015
020009001|2011-2012|113.97|07|0.26|0.42|0.32|0|0200090012011-2012
020009001|2012-2013|90.15|07|0.52|0.36|-1.00|0|0200090012012-2013
020009001|2013-2014|111.38|07|0.19|0.69|-1.00|0|0200090012013-2014
020009001|2014-2015|107.70|07|0.35|0.43|0.22|0|0200090012014-2015
020009001|2011-2012|101.39|08|0.39|0.45|0.15|0|0200090012011-2012
020009001|2012-2013|94.73|08|0.40|0.60|-1.00|0|0200090012012-2013
020009001|2013-2014|96.47|08|0.41|0.44|0.16|0|0200090012013-2014
020009001|2014-2015|99.82|08|0.29|0.64|-1.00|0|0200090012014-2015
020009001|2011-2012|102.91|11|0.27|0.59|-1.00|0|0200090012011-2012
020009001|2012-2013|104.25|11|0.33|0.46|0.21|0|0200090012012-2013
020009001|2013-2014|105.19|11|0.31|0.38|0.31|0|0200090012013-2014
020009001|2014-2015|106.60|11|0.26|0.54|0.20|0|0200090012014-2015
020009002|2011-2012|110.03|03|0.15|0.73|-1.00|0|0200090022011-2012
020009002|2012-2013|84.65|03|0.50|0.46|-1.00|0|0200090022012-2013
020009002|2013-2014|113.65|03|-1.00|0.52|0.30|0|0200090022013-2014
020009002|2014-2015|124.26|03|-1.00|0.68|0.29|0|0200090022014-2015
020009002|2011-2012|107.20|04|0.28|0.56|-1.00|0|0200090022011-2012
020009002|2012-2013|103.20|04|0.26|0.57|0.17|0|0200090022012-2013
020009002|2013-2014|109.54|04|0.21|0.46|0.32|0|0200090022013-2014
020009002|2014-2015|116.20|04|-1.00|0.40|0.45|0|0200090022014-2015
020009002|2011-2012|114.44|05|-1.00|0.56|0.28|1|0200090022011-2012
020009002|2012-2013|110.79|05|0.21|0.58|0.21|0|0200090022012-2013
020009002|2013-2014|127.41|05|-1.00|0.59|0.34|0|0200090022013-2014
020009002|2014-2015|100.57|05|0.27|0.67|-1.00|0|0200090022014-2015
020009002|2011-2012|120.43|06|0.20|0.40|0.40|0|0200090022011-2012
020009002|2012-2013|122.11|06|-1.00|0.48|0.37|0|0200090022012-2013
020009002|2013-2014|131.13|06|-1.00|0.46|0.42|0|0200090022013-2014
020009002|2014-2015|114.47|06|0.16|0.50|0.34|0|0200090022014-2015
020018001|2011-2012|119.53|07|-1.00|0.67|-1.00|0|0200180012011-2012
020018001|2012-2013|-1.00|07|-1.00|-1.00|-1.00|0|0200180012012-2013
020018001|2013-2014|95.29|07|0.41|0.53|-1.00|0|0200180012013-2014
020018001|2014-2015|-1.00|07|-1.00|-1.00|-1.00|0|0200180012014-2015
020018001|2011-2012|102.62|08|-1.00|0.54|-1.00|0|0200180012011-2012
020018001|2012-2013|134.13|08|-1.00|0.67|0.33|0|0200180012012-2013
020018001|2013-2014|104.50|08|-1.00|0.70|-1.00|0|0200180012013-2014
020018001|2014-2015|111.13|08|-1.00|0.60|-1.00|0|0200180012014-2015
020018001|2011-2012|134.08|11|-1.00|-1.00|0.67|0|0200180012011-2012
020018001|2012-2013|145.25|11|-1.00|-1.00|0.67|0|0200180012012-2013
020018001|2013-2014|127.21|11|-1.00|-1.00|0.43|0|0200180012013-2014
020018001|2014-2015|130.42|11|-1.00|0.42|0.42|0|0200180012014-2015
020018002|2011-2012|94.27|03|0.55|0.45|-1.00|0|0200180022011-2012
020018002|2012-2013|112.67|03|-1.00|0.67|-1.00|0|0200180022012-2013
020018002|2013-2014|124.00|03|-1.00|0.64|-1.00|0|0200180022013-2014
020018002|2014-2015|138.91|03|-1.00|0.64|-1.00|0|0200180022014-2015
020018002|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0200180022011-2012
020018002|2012-2013|-1.00|04|-1.00|-1.00|-1.00|0|0200180022012-2013
020018002|2013-2014|102.70|04|-1.00|0.50|-1.00|0|0200180022013-2014
020018002|2014-2015|143.36|04|-1.00|0.45|0.55|0|0200180022014-2015
020018002|2011-2012|114.23|05|-1.00|0.77|-1.00|0|0200180022011-2012
020018002|2012-2013|-1.00|05|-1.00|-1.00|-1.00|0|0200180022012-2013
020018002|2013-2014|-1.00|05|-1.00|-1.00|-1.00|0|0200180022013-2014
020018002|2014-2015|-1.00|05|-1.00|-1.00|-1.00|0|0200180022014-2015
020018002|2011-2012|108.45|06|-1.00|0.64|-1.00|0|0200180022011-2012
020018002|2012-2013|117.86|06|-1.00|0.50|-1.00|0|0200180022012-2013
020018002|2013-2014|-1.00|06|-1.00|-1.00|-1.00|0|0200180022013-2014
020018002|2014-2015|-1.00|06|-1.00|-1.00|-1.00|0|0200180022014-2015
022001002|2011-2012|121.08|03|-1.00|0.54|-1.00|0|0220010022011-2012
022001002|2012-2013|138.93|03|-1.00|0.36|0.57|0|0220010022012-2013
022001002|2013-2014|145.86|03|-1.00|0.36|0.64|0|0220010022013-2014
022001002|2014-2015|122.60|03|-1.00|0.60|-1.00|0|0220010022014-2015
022001002|2011-2012|130.94|04|-1.00|0.72|0.28|0|0220010022011-2012
022001002|2012-2013|139.69|04|-1.00|0.46|0.46|0|0220010022012-2013
022001002|2013-2014|144.83|04|-1.00|-1.00|0.67|0|0220010022013-2014
022001002|2014-2015|139.69|04|-1.00|0.54|0.46|0|0220010022014-2015
022001004|2011-2012|-1.00|03|-1.00|-1.00|-1.00|0|0220010042011-2012
022001004|2012-2013|-1.00|03|-1.00|-1.00|-1.00|0|0220010042012-2013
022001004|2013-2014|-1.00|03|-1.00|-1.00|-1.00|0|0220010042013-2014
022001004|2014-2015|-1.00|03|-1.00|-1.00|-1.00|0|0220010042014-2015
022001004|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0220010042011-2012
022001004|2012-2013|-1.00|04|-1.00|-1.00|-1.00|0|0220010042012-2013
022001004|2013-2014|-1.00|04|-1.00|-1.00|-1.00|0|0220010042013-2014
022001004|2014-2015|-1.00|04|-1.00|-1.00|-1.00|0|0220010042014-2015
022001006|2011-2012|114.75|03|-1.00|0.58|-1.00|0|0220010062011-2012
022001006|2012-2013|-1.00|03|-1.00|-1.00|-1.00|0|0220010062012-2013
022001006|2013-2014|-1.00|03|-1.00|-1.00|-1.00|0|0220010062013-2014
022001006|2014-2015|-1.00|03|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2011-2012|-1.00|04|-1.00|-1.00|-1.00|0|0220010062011-2012
022001006|2012-2013|98.00|04|-1.00|0.67|-1.00|0|0220010062012-2013
022001006|2013-2014|-1.00|04|-1.00|-1.00|-1.00|0|0220010062013-2014
022001006|2014-2015|-1.00|04|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2014-2015|-1.00|05|-1.00|-1.00|-1.00|0|0220010062014-2015
022001006|2014-2015|128.92|06|-1.00|0.75|-1.00|0|0220010062014-2015
022001007|2011-2012|106.15|05|-1.00|0.73|-1.00|0|0220010072011-2012
022001007|2012-2013|113.10|05|-1.00|0.71|-1.00|0|0220010072012-2013
022001007|2013-2014|100.55|05|0.35|0.45|-1.00|0|0220010072013-2014
022001007|2014-2015|115.38|05|0.24|0.52|0.24|0|0220010072014-2015
022001007|2011-2012|86.48|06|0.43|0.52|-1.00|0|0220010072011-2012
022001007|2012-2013|104.70|06|0.33|0.52|-1.00|0|0220010072012-2013
022001007|2013-2014|104.32|06|0.32|0.58|-1.00|0|0220010072013-2014
022001007|2014-2015|111.47|06|-1.00|0.53|-1.00|0|0220010072014-2015
022001007|2011-2012|83.69|07|0.55|0.41|-1.00|0|0220010072011-2012
022001007|2012-2013|100.80|07|0.32|0.56|-1.00|0|0220010072012-2013
022001007|2013-2014|118.85|07|-1.00|0.73|0.23|0|0220010072013-2014
022001007|2014-2015|119.22|07|-1.00|0.67|-1.00|0|0220010072014-2015
022001007|2011-2012|96.29|08|0.36|0.50|-1.00|0|0220010072011-2012
022001007|2012-2013|90.89|08|0.43|0.54|-1.00|0|0220010072012-2013
022001007|2013-2014|88.64|08|0.52|0.40|-1.00|0|0220010072013-2014
022001007|2014-2015|111.96|08|-1.00|0.76|0.20|0|0220010072014-2015
022001008|2011-2012|97.96|11|0.35|0.48|-1.00|0|0220010082011-2012
022001008|2012-2013|126.50|11|-1.00|0.44|0.44|0|0220010082012-2013
