id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
010090001|2011-2012|112.41|07|0.22|0.54|0.23|0|0100900012011-2012
010090001|2012-2013|118.61|07|0.15|0.52|0.33|0|0100900012012-2013
010090001|2013-2014|120.46|07|0.17|0.49|0.34|0|0100900012013-2014
010090001|2014-2015|134.58|07|0.11|0.40|0.49|0|0100900012014-2015
010090001|2011-2012|100.61|08|0.32|0.52|0.16|0|0100900012011-2012
010090001|2012-2013|121.60|08|0.18|0.45|0.37|0|0100900012012-2013
010090001|2013-2014|118.72|08|0.15|0.46|0.39|0|0100900012013-2014
010090001|2014-2015|124.01|08|0.14|0.46|0.40|0|0100900012014-2015
010090001|2011-2012|117.10|11|0.22|0.39|0.39|0|0100900012011-2012
010090001|2012-2013|129.72|11|0.17|0.35|0.49|0|0100900012012-2013
010090001|2013-2014|122.55|11|0.15|0.46|0.39|0|0100900012013-2014
010090001|2014-2015|111.25|11|0.31|0.39|0.31|1|0100900012014-2015
010090002|2011-2012|104.86|03|0.32|0.55|-1.00|0|0100900022011-2012
010090002|2012-2013|100.00|03|0.39|0.39|-1.00|0|0100900022012-2013
010090002|2013-2014|82.00|03|0.56|0.44|-1.00|0|0100900022013-2014
010090002|2014-2015|106.68|03|-1.00|0.74|-1.00|0|0100900022014-2015
010090002|2011-2012|103.57|04|-1.00|0.57|-1.00|0|0100900022011-2012
010090002|2012-2013|115.00|04|-1.00|0.55|0.30|0|0100900022012-2013
010090002|2013-2014|94.50|04|0.50|-1.00|0.30|0|0100900022013-2014
010090002|2014-2015|106.20|04|0.20|0.60|0.20|0|0100900022014-2015
010090002|2011-2012|122.69|05|-1.00|0.44|0.38|0|0100900022011-2012
010090002|2012-2013|115.55|05|-1.00|0.75|-1.00|0|0100900022012-2013
010090002|2013-2014|110.35|05|0.26|0.52|0.22|0|0100900022013-2014
010090002|2014-2015|124.00|05|-1.00|0.52|0.38|0|0100900022014-2015
010090002|2011-2012|121.43|06|0.24|0.38|0.38|0|0100900022011-2012
010090002|2012-2013|123.42|06|-1.00|0.63|0.37|0|0100900022012-2013
010090002|2013-2014|100.36|06|0.36|0.41|0.23|0|0100900022013-2014
010090002|2014-2015|127.93|06|-1.00|0.59|0.37|0|0100900022014-2015
010090003|2011-2012|119.10|03|-1.00|0.70|-1.00|0|0100900032011-2012
010090003|2012-2013|105.44|03|-1.00|0.78|-1.00|0|0100900032012-2013
