CountyDistrictSchool|School Year|HAL Percentage
320125000|20102011|0.1714
330018000|20102011|0.1340
330021000|20102011|0.0394
330540000|20102011|0.0811
340001000|20102011|-1.0000
340015000|20102011|0.0804
340034000|20102011|0.1163
340100000|20102011|0.1570
350001000|20102011|0.1208
360100000|20102011|0.1886
370030000|20102011|0.1429
380011000|20102011|0.1231
390010000|20102011|0.1280
390055000|20102011|0.3297
390501000|20102011|1.0375
400002000|20102011|0.0844
400082000|20102011|0.1577
400083000|20102011|0.0360
400126000|20102011|0.0442
410002000|20102011|0.1858
410091000|20102011|0.1188
410504000|20102011|0.1266
420002000|20102011|0.1791
430079000|20102011|0.1544
440070000|20102011|0.0659
450007000|20102011|0.1477
450029000|20102011|0.1513
450044000|20102011|-1.0000
450137000|20102011|-1.0000
450239000|20102011|-1.0000
460001000|20102011|0.1144
470001000|20102011|0.1185
470100000|20102011|0.0471
470103000|20102011|-1.0000
480008000|20102011|0.0979
480300000|20102011|0.1553
480303000|20102011|0.1628
490033000|20102011|0.2233
490050000|20102011|0.0944
500001000|20102011|0.2126
500501000|20102011|0.0803
500503000|20102011|0.1873
510001000|20102011|0.1121
510006000|20102011|0.0995
520100000|20102011|0.1287
530001000|20102011|0.0573
540013000|20102011|0.0809
540096000|20102011|0.0412
540501000|20102011|0.1863
540505000|20102011|-1.0000
540576000|20102011|0.1508
540586000|20102011|0.1901
550001000|20102011|0.1840
550145000|20102011|0.0575
550148000|20102011|0.0665
550160000|20102011|0.1937
550161000|20102011|0.1934
550605000|20102011|-1.0000
554001000|20102011|-1.0000
554002000|20102011|-1.0000
554003000|20102011|-1.0000
560001000|20102011|0.0842
560006000|20102011|0.1139
560007000|20102011|0.1496
560037000|20102011|0.0980
560055000|20102011|0.0845
560565000|20102011|0.2270
570501000|20102011|0.1198
580025000|20102011|-1.0000
590001000|20102011|0.0563
590002000|20102011|0.2265
590005000|20102011|0.1859
590013000|20102011|-1.0000
590080000|20102011|-1.0000
594001000|20102011|-1.0000
594003000|20102011|-1.0000
600090000|20102011|0.2301
610004000|20102011|0.0762
610049000|20102011|0.2336
620021000|20102011|-1.0000
620063000|20102011|0.0982
630001000|20102011|0.1846
630030000|20102011|0.0825
640023000|20102011|0.0975
640029000|20102011|0.1185
650011000|20102011|0.1338
652005000|20102011|0.1509
660027000|20102011|0.2892
660111000|20102011|0.0877
660501000|20102011|0.2609
670001000|20102011|0.0404
670069000|20102011|0.1117
680020000|20102011|0.0412
690044000|20102011|0.1513
690054000|20102011|0.2851
690055000|20102011|0.1343
700002000|20102011|0.1357
700005000|20102011|0.3012
700542000|20102011|0.2469
710001000|20102011|0.1555
710005000|20102011|0.0265
710067000|20102011|0.0854
720015000|20102011|0.1857
720019000|20102011|0.3846
720032000|20102011|0.1492
720075000|20102011|-1.0000
730017000|20102011|0.1388
730179000|20102011|-1.0000
740056000|20102011|0.0790
740070000|20102011|0.1531
750100000|20102011|0.2234
760002000|20102011|0.1443
760044000|20102011|0.2132
760068000|20102011|0.1119
760082000|20102011|0.1227
770001000|20102011|0.1771
770027000|20102011|0.1197
770037000|20102011|0.1111
770046000|20102011|0.1631
774002000|20102011|-1.0000
780001000|20102011|0.1798
780009000|20102011|0.0831
780039000|20102011|0.1232
780072000|20102011|0.1564
780107000|20102011|0.1938
790002000|20102011|0.0682
790011000|20102011|0.0687
790016000|20102011|0.1067
790031000|20102011|0.0443
